ANIO,MES,AREA,ESTRATO,LLAVE_PANEL,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2022,10,1,2,202210121641006311,12164,1,0063,1,1,1,1,2, ,1,50,1,1,13,11,1971,1, , , , , , , , , , , , , , , ,7342,1394,3,5,1, ,2,40,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,2,400, , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,6,1, , , , , ,1732, , , ,1732,1732,1732,1,249.048980121251
2022,10,1,2,202210121641006312,12164,1,0063,1,2,3,1,2, ,1,17,2,2,18,4,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,6,4, , , , , , , , , , , , ,1,272.828520948844
2022,10,1,2,202210121641006321,12164,1,0063,2,1,1,1,2, ,2,28,1,1,4,10,1993,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,194.673560094261
2022,10,1,2,202210121641006331,12164,1,0063,3,1,1,1,2, ,1,56,1,1,6,9,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , ,1,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,140.90834266578
2022,10,1,2,202210121641006332,12164,1,0063,3,2,2,1,2, ,2,51,2,2,1,11,1970,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,5,1,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,144.686952042847
2022,10,1,2,202210121641006333,12164,1,0063,3,3,3,1,2, ,2,17,3,3,20,12,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,228.388898506174
2022,10,1,2,202210121641006411,12164,1,0064,1,1,1,1,2, ,1,85,1,2,30,10,1936,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,4,5, ,2,2,2,1,2,2,10,5,4, , , , , , , , , , , , ,1,234.031002816275
2022,10,1,2,202210121641006412,12164,1,0064,1,2,2,1,2, ,2,79,2,2,21,5,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,4, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,186.757822813694
2022,10,1,2,202210121641006511,12164,1,0065,1,1,1,1,2, ,1,56,1,1,11,8,1966,1, , , , , , , , , , , , , , , ,4321,4630,3,5,1, ,1,6,0,8,8,8,8,8,0,40, ,40,1, ,1,1,1,2,4,1025,50, , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,217, , , ,255,1025, , , ,1242,1242,1497,1,210.594252382873
2022,10,1,2,202210121641006512,12164,1,0065,1,2,2,1,2, ,2,56,2,2,20,5,1966,1, , , , , , , , , , , , , , , ,4120,6920,3,5,2,2,1,5,0,4,4,4,4,4,0,20, ,20,1, ,2, ,2,2,4,586, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,11,5, ,2,2,2,2,2,2,10,9,1, , , , ,34,586, , , ,586,586,620,1,216.241561020107
2022,10,1,2,202210121641006513,12164,1,0065,1,3,3,1,2, ,1,25,3,3,12,3,1997,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,2, , , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,237.803885965867
2022,10,1,2,202210121641006514,12164,1,0065,1,4,3,1,2, ,1,22,4,2,11,5,2000,1, , , , , , , , , , , , , , , ,5223,4630,4, ,3,2,1,2,6,6,0,6,6,6,6,36, ,42,2,42,2, ,2, , , , , , , , , , , , , , , , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3, ,1,2,2,1,2,1,2,10,9,1, , , , , , , , , ,0,0,0,1,229.646541010758
2022,10,1,2,202210121641006515,12164,1,0065,1,5,3,1,2, ,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210121641015711,12164,1,0157,1,1,1,1,2, ,2,67,1,1,14,3,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,1,2,2,2,2,2,10,9,4, , , , , , , , , , , , ,1,168.402886513731
2022,10,1,2,202210121641015712,12164,1,0157,1,2,2,1,2, ,1,57,2,2,24,6,1965,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,214.083156085787
2022,10,1,2,202210121731002311,12173,1,0023,1,1,1,1,2, ,1,56,1,1,15,11,1965,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,1,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,202.154587249104
2022,10,1,2,202210121731002312,12173,1,0023,1,2,2,1,2, ,2,43,2,2,19,9,1979,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2, ,5142,9602,2, ,3,2,1,1,0,0,0,0,0,3,0,3, ,12,2,12,1,2,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,1960, , ,1960,1960,1960,1,201.780689946154
2022,10,1,2,202210121731002313,12173,1,0023,1,3,3,1,2, ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210121731002314,12173,1,0023,1,4,6,1,2, ,1,93,4,2,18,5,1929,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,1,2,2,10,9,4, , , , , , , , , , , , ,1,220.990953435215
2022,10,1,2,202210121731002611,12173,1,0026,1,1,1,1,2, ,1,34,1,1,20,5,1988,1, , , , , , , , , , , , , , , ,2421,4210,3,5,1, ,1,8,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2,4,1300, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,9,1, , , , ,200,1300, , , ,1300,1300,1500,1,220.894080082645
2022,10,1,2,202210121731002612,12173,1,0026,1,2,2,1,2, ,2,29,2,2,29,7,1993,1, , , , , , , , , , , , , , , ,4224,5510,3,5,1, ,1,3,0,0,0,0,0,0,8,8, ,8,1, ,1,2,2,2,2,80, , , , , , , , , , , , , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,12,7,1, , , , , ,346, , , ,346,346,346,1,213.850547750706
2022,10,1,2,202210121731002613,12173,1,0026,1,3,3,1,2, ,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210121731002614,12173,1,0026,1,4,3,1,2, ,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210121731002711,12173,1,0027,1,1,1,1,2, ,1,44,1,1,29,9,1978,1, , , , , , , , , , , , , , , ,2411,4220,3,5,1, ,1,8,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2,4,1650, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , ,251,1650, , , ,1650,1650,1901,1,220.894080082645
2022,10,1,2,202210121731002712,12173,1,0027,1,2,2,1,2, ,2,40,2,2,13,4,1982,1, , , , , , , , , , , , , , , ,7352,1410,2, ,3,2,1,1,0,0,3,1,0,0,0,4, ,4,1, ,1,2,2,2, , , , , , , , , , , , , , , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,870, , ,870,870,870,1,213.850547750706
2022,10,1,2,202210121731002713,12173,1,0027,1,3,3,1,2, ,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210121731002714,12173,1,0027,1,4,3,1,2, ,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210121731002715,12173,1,0027,1,5,3,1,2, ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210488851002911,48885,1,0029,1,1,1,1,2, ,2,35,1,1,27,6,1987,1, , , , , , , , , , , , , , , ,9211,0113,3,5,3,2,1,5,0,0,6,6,0,0,0,12, ,18,2,18,1,2,2,2,2,100, , , , , , , , , , , , , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1, , , , , ,433, , , ,433,433,433,1,143.895547569673
2022,10,1,2,202210488851002912,48885,1,0029,1,2,3,1,2, ,2,17,2,2,13,4,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,153.795563050377
2022,10,1,2,202210488851002913,48885,1,0029,1,3,3,1,2, ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210488851003011,48885,1,0030,1,1,1,1,2, ,2,35,1,1,19,4,1987,1, , , , , , , , , , , , , , , ,5212,4773,2, ,3,2,1,1,0,0,0,0,0,1,1,2, ,2,1, ,1,1,1,1, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,10,9,1, ,95, , , , ,641, , ,736,736,736,1,143.895547569673
2022,10,1,2,202210488851003012,48885,1,0030,1,2,3,1,2, ,1,18,2,2,3,9,2004,1, , , , , , , , , , , , , , , ,9629,7729,3,5,2,2,1,5,0,0,0,0,0,0,7,7, ,7,1, ,1,1,1,2,2,108,20, , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,9,1,87, , , , ,468, , , ,555,555,555,1,213.727758290029
2022,10,1,2,202210488851003013,48885,1,0030,1,3,3,1,2, ,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210488851003014,48885,1,0030,1,4,3,1,2, ,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210488851003211,48885,1,0032,1,1,1,1,2, ,1,44,1,1,21,6,1978,1, , , , , , , , , , , , , , , ,9613,8411,3,2, , ,5,2000,7,7,7,7,7,7,7,49, ,49,1, ,2, ,2,2,4,1379, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,3, ,4,2,2,2,2,2,2,10,5,1, , , , ,200,1379, , , ,1379,1379,1579,1,119.939595612304
2022,10,1,2,202210488851003212,48885,1,0032,1,2,2,1,2, ,2,43,2,2,22,9,1979,1, , , , , , , , , , , , , , , ,5212,4721,2, ,3,2,1,1,13,13,13,13,13,0,0,65, ,91,2,91,1,1,1,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4, ,6,2,2,2,2,2,2,10,5,1, ,217, , , , ,641, , ,858,858,858,1,148.554704392371
2022,10,1,2,202210488851003213,48885,1,0032,1,3,3,1,2, ,1,17,3,3,6,6,2005,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,5223,4721,4, ,3,2,1,2,3,4,2,4,0,4,4,21, ,21,1, ,2, ,2, , , , , , , , , , , , , , , , , ,1,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,1,2,10,9,1, , , , , , , , , ,0,0,0,1,213.727758290029
2022,10,1,2,202210488851003214,48885,1,0032,1,4,3,1,2, ,2,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202210488851003215,48885,1,0032,1,5,3,1,2, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202207121311003911,12131,1,0039,1,1,1,1,2, ,2,77,1,1,29,11,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,4,2, ,2, ,3,1, ,1,2,2,1,2,2,10,5,4, , , , , , , , , , , , ,1,194.058864872719
2022,10,1,2,202207121311003912,12131,1,0039,1,2,3,1,2, ,2,56,2,2,13,7,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,174.986367402371
2022,10,1,2,202207121311003913,12131,1,0039,1,3,5,1,2, ,2,34,3,3,26,12,1987,1, , , , , , , , , , , , , , , ,4321,7730,3,5,1, ,4,500,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1025, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , , , ,237,1025, , , ,1025,1025,1262,1,198.98744565746
2022,10,1,2,202207121311003914,12131,1,0039,1,4,8,1,2, ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202207121311003915,12131,1,0039,1,5,11,1,2, ,1,36,5,5,23,3,1986,1, , , , , , , , , , , , , , , ,5414,8010,3,4,1, ,1,10,0,12,12,12,12,12,12,72, ,72,1, ,2, ,2,2,4,1469, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , , , ,13,1469, , , ,1469,1469,1482,1,243.07351277672
2022,10,1,2,202207121311004011,12131,1,0040,1,1,1,1,2, ,1,84,1,1,31,5,1938,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,6,5, ,1,2,2,1,2,2,10,8,4, , , , , , , , , , , , ,1,222.452427197808
2022,10,1,2,202207121311004012,12131,1,0040,1,2,2,1,2, ,2,78,2,2,6,6,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,1,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,174.986367402371
2022,10,1,2,202207121311004111,12131,1,0041,1,1,1,1,2, ,1,69,1,1,1,4,1953,1, , , , , , , , , , , , , , , ,4229,8610,3,2, , ,5,9998,0,6,6,6,6,6,6,36,36,72,1, ,2, ,2,2,4,1800, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , , , ,83,1800, , , ,1800,1800,1883,1,256.846683782639
2022,10,1,2,202207121311004112,12131,1,0041,1,2,2,1,2, ,2,65,2,2,20,6,1957,1, , , , , , , , , , , , , , , ,5120,5610,1, ,2,2,1,3,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,2,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,8,1, ,468, , , , ,565, , ,1033,1033,1033,1,172.134619320315
2022,10,1,2,202207121311004211,12131,1,0042,1,1,1,1,2, ,2,60,1,1,6,1,1962,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,9,3, ,1,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,228.417734012862
2022,10,1,2,202207121311004212,12131,1,0042,1,2,7,1,2, ,1,72,2,1,14,9,1950,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,10,1, ,1,2,2,2,2,2,10,9,4, , , , , , , , , , , , ,1,261.101842807811
2022,10,1,2,202207121311004213,12131,1,0042,1,3,7,2, ,2,1,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2022,10,1,2,202210121311004214,12131,1,0042,1,4,7,2, ,2,1,70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2022,10,1,2,202210121311004215,12131,1,0042,1,5,8,1,2, ,1,47,5,5,7,4,1975,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,7, , ,2,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4, ,6,2,2,2,2,1,2,10,9,3, , , , , , , , , , , , ,1,243.180106122668
2022,10,1,2,202207121371006511,12137,1,0065,1,1,1,1,2, ,1,57,1,1,20,11,1964,1, , , , , , , , , , , , , , , ,2330,8521,3,2, , ,5,9998,6,6,6,6,6,6,6,42, ,42,1, ,2, ,2,2,4,2200, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,11,5, ,2,2,2,2,2,2,10,4,1, , , , ,83,2200, , , ,2200,2200,2283,1,248.226968557811
2022,10,1,2,202207121371006512,12137,1,0065,1,2,2,1,2, ,2,34,2,2,31,8,1988,1, , , , , , , , , , , , , , , ,5212,4711,2, ,3,2,1,2,0,0,0,0,0,10,10,20, ,30,2,30,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,1,2,2,2,2,2,1,1,1, ,120, , , , ,8, , ,128,128,128,1,214.589366461126
2022,10,1,2,202207121371006513,12137,1,0065,1,3,3,1,2, ,2,15,3,3,14,6,2007,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,5223,4711,4, ,3,2,1,2,2,1,1,1,1,1,2,9, , ,1, ,2, , , , , , , , , , , , ,2,4,1,2, , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,2, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , , , ,1,229.353116455398
2022,10,1,2,202207121371006514,12137,1,0065,1,4,3,1,2, ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,2,202207121371006611,12137,1,0066,1,1,1,1,2, ,1,48,1,1,12,8,1974,1, , , , , , , , , , , , , , , ,1499,3312,3,5,1, ,1,6,0,12,16,12,12,8,6,66, ,66,1, ,1,1,1,2,4,1625,270, , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,1,1170, , , ,42,1625, , , ,2795,2795,2837,1,248.226968557811
2022,10,1,2,202207121371006911,12137,1,0069,1,1,1,1,2, ,2,67,1,1,10,1,1955,1, , , , , , , , , , , , , , , ,5120,5610,2, ,3,2,1,2,5,4,0,0,0,5,5,19, ,19,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,1,2,2,2,2,2,10,9,1, ,303, , , , ,456, , ,759,759,759,1,218.177912940161
2022,10,1,2,202207121371006921,12137,1,0069,2,1,1,1,2, ,2,50,1,1,22,11,1971,1, , , , , , , , , , , , , , , ,9535,4782,2, ,3,2,1,1,12,12,12,12,12,12,12,84,7,84,2,84,1,2,2,1, , , , , , , ,15, , , , , , , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, ,20, , , , ,300, ,15,335,320,335,1,196.734946676465
2022,10,1,2,202207121371006922,12137,1,0069,2,2,3,1,2, ,1,15,2,2,24,8,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,2, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,273.980397553626
